Age,Gender,Area of Residence,Educational Qualification,What is your Annual Income?,"On a scale of 1 to 5, how would you rate the availability of affordable and nutritious food options in your community?",How far is the nearest grocery store or market from your residence?,Have you ever experienced shortages or stockouts of essential food items in local shops or markets?,"On average, how much time do you spend traveling to purchase groceries or food items?","On average, how much of your monthly income do you allocate towards purchasing food?",How reliable do you find transportation options to access food retailers or markets in your community?,How frequently do you consume locally sourced food products?,What factors influence your decision to choose locally sourced food products? (Select all that apply),How frequently do you consume processed or packaged food items?,How frequently do you consume fast food or takeout meals?,"Do you follow any specific dietary restrictions or guidelines (e.g., vegetarian, vegan, gluten-free)?",How often do you eat meals together with family or household members?,Have you experienced food insecurity in the past year?,How often do you feel that the food you have access to is of poor quality or has insufficient nutritional value?,How satisfied are you with the variety of food available to you within your budget?,Have you or any family members experienced weight loss or malnutrition due to lack of access to adequate food?,Do you ever rely on food aid or assistance from charitable organizations to meet your nutritional needs?,How frequently do you skip meals due to financial constraints or lack of access to food?,Have you or your family members ever benefited from government food assistance programs such as the Public Distribution System (PDS) or the Mid-Day Meal Scheme?,How supportive do you find your community in addressing food justice issues?,"How often do you participate in community events or activities related to food (e.g., food drives, community meals)?",Do you believe that food justice and equity should be a priority for government policies?,How aware are you of government policies related to food security and nutrition?,Have you ever participated in advocacy or activism efforts aimed at improving food access and security in your community?,"How often do you consider the environmental impact of your food choices (e.g., carbon footprint, water usage, deforestation)?",Are you willing to pay a premium for food products that are produced in an environmentally sustainable manner?,"How frequently do you grow your own food (e.g., vegetables, herbs) at home or in a community garden?","How important is it for you to choose food products that are packaged in environmentally friendly materials (e.g., recyclable, biodegradable)?",How often do you incorporate locally sourced ingredients into your meals?,"When making food choices, which factor influences you the most?",To what extent do cultural traditions influence your food choices?,How often do you share meals with family members or friends to maintain cultural traditions or social connections? ,"How comfortable do you feel expressing your dietary preferences or restrictions in social settings (e.g., family gatherings, social events)?",How important is it for you to preserve and pass down traditional recipes or culinary practices within your family or community?,How well do you think your community celebrates and promotes diverse food cultures?,"To what extent do you agree with the statement, ""Cooking skills are an important part of a healthy lifestyle""?","Have you experienced discrimination based on caste, ethnicity, or socio-economic status when accessing food resources?",Have you ever avoided bringing certain foods or meals to school or work because you were afraid of being judged or shamed by others?,Do you believe that schools or workplaces should implement policies or education programs to address lunchbox shaming and promote food acceptance and inclusivity?,Have you (or any close one) ever faced challenges in accessing food resources due to physical disabilities or mobility issues?,How often do you encounter barriers such as language or cultural differences when accessing information about food resources or nutrition?,Do you think there is sufficient awareness and action within your community to address food justice issues?,Do you use online grocery delivery services or food ordering apps?,Would you be comfortable using blockchain technology to track the origin and sustainability of food products?,How often do you use food tracking or calorie counting apps to monitor your dietary intake?,Do you believe that technology has positively or negatively impacted people's overall relationship with food?,"How often do you engage with food-related content on streaming platforms (e.g., cooking shows, food documentaries)?","How often do you use technology (e.g., smart kitchen appliances, cooking apps) to assist you in meal preparation or cooking?",How knowledgeable do you feel about the connection between nutrition and mental health?,Do you believe there is a stigma associated with talking about food insecurity or mental health?,How often do you experience changes in your appetite or eating habits during periods of stress or emotional distress?,"Have you ever sought professional help or counseling for mental health concerns related to food, such as disordered eating or emotional eating?",Do you think mental health support services should include resources or programs specifically addressing the relationship between food and mental well-being? ,"Have you ever used food as a coping mechanism during times of stress, sadness, or anxiety? "
18,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),4 (Abundant),Less than 1km,No,Less than 15 minutes,Less than 10%,Reliable,Sometimes,Health Benefits,Often,Occasionally,Yes (Strictly),Always,No,Occasionally,Somewhat Satisfied,No,"No, Never",Rarely,No,Supportive,Sometimes,Yes,Not very aware,Never,Sometimes,"Yes, Sometimes",Rarely,Very Important,Often,Convenience,To a great extent,Often,Comfortable,Very important,Somewhat well,Agree,No,"Yes, occasionally",Strongly agree,No,Rarely,"Yes, to some extent",Yes,Yes,Rarely,Negatively,Occasionally,Rarely,Slightly knowledgeable,Yes,Sometimes,No,Neutral,Occasionally
20,Female,Semi Rural,"High school graduate, diploma or the equivalent",Less than INR 1 Lakh,5 (Very Abundant),Less than 1km,No,Less than 15 minutes,10% - 20%,Reliable,Often,"Quality, Health Benefits, Supporting Local Farmers",Always,Often,No,Sometimes,No,Sometimes,Somewhat Satisfied,No,"No, Never",Never,No,Neutral,Often,Yes,Somewhat Aware,Never,Sometimes,"Yes, Sometimes",Sometimes,Important,Often,Taste and Flavour,Very Much,Always,Comfortable,Very important,Very well,Strongly agree,No,"No, never",Strongly agree,No,Rarely,"No, not enough",Yes,Yes,Never,Positively,Daily,Occasionally,Moderately knowledgeable,Yes,Always,No,Strongly agree,Frequently
18,Male,Urban,High School,None as of now (Student),5 (Very Abundant),Less than 1km,No,Less than 15 minutes,Less than 10%,Reliable,Often,"Price, Quality",Occasionally,Rarely or Never,No,Often,No,Often,Somewhat Satisfied,No,"No, Never",Never,No,Neutral,Never,Yes,Not very aware,Never,Never,"Yes, Sometimes",Never,Somewhat Important,Sometimes,Cost,Slightly,Rarely,Comfortable,Not important at all,Not at all well,Strongly agree,No,"No, never",Strongly agree,No,Rarely,"No, not enough",Yes,Yes,Rarely,Negatively,Never,Neve,Moderately knowledgeable,Yes,Often,No,Strongly agree,Rarely
19,Male,Urban,Bachelor's Degree,None as of now (Student),4 (Abundant),Less than 1km,No,Less than 15 minutes,20% - 30%,Somewhat Reliable,Sometimes,"Quality, Health Benefits",Sometimes,Occasionally,Yes (Strictly),Often,No,Rarely or Never,Neutral,No,"No, Never",Never,No,Not very Supportive,Never,Yes,Somewhat Aware,"Yes, Occasionally",Rarely,"Yes, Always",Rarely,Important,Sometimes,Taste and Flavour,Somewhat,Always,Comfortable,Moderately important,Somewhat well,Agree,Yes,"No, never",Agree,No,Never,"Yes, to some extent",Yes,Yes,Never,Neutral,Never,Rarely,Somewhat knowledgeable,No,Never,No,Disagree,Rarely
20,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),2 (Limited),Less than 1km,No,15-30 minutes,More than 40%,Reliable,Rarely or Never,"Quality, Health Benefits, Environmental Sustainability",Often,Often,Yes (Sometimes),Occasionally,No,Often,Neutral,Yes,"No, Never",Rarely,No,Neutral,Never,Yes,Not aware at all,Never,Sometimes,"Yes, Sometimes",Rarely,Important,Sometimes,Nutritional Value,To a great extent,Rarely,Very Comfortable,Not important at all,Not at all well,Agree,No,"No, never",Agree,No,Rarely,"No, not enough",Yes,Yes,Daily,Positively,Occasionally,Rarely,Moderately knowledgeable,Yes,Often,No,Agree,Frequently
20,Male,Urban,Bachelor's Degree,None as of now (Student),2 (Limited),3-5 km,No,More than 1 hour,30% - 40%,Reliable,Sometimes,Quality,Sometimes,Often,No,Rarely or Never,No,Often,Neutral,No,"No, Never",Rarely,No,Neutral,Never,Not Sure,Not aware at all,Never,Never,"Yes, Sometimes",Rarely,Not very Important,Often,Taste and Flavour,To a great extent,Rarely,Comfortable,Very important,Somewhat well,Strongly agree,No,"No, never",Agree,No,Rarely,"No, not enough",Yes,Yes,Never,Neutral,Occasionally,Neve,Slightly knowledgeable,No,Sometimes,No,Neutral,Occasionally
19,Male,Urban,High School,More than INR 15 Lakhs,5 (Very Abundant),Less than 1km,No,30 minutes - 1 hour,Less than 10%,Very Reliable,Often,"Price, Quality, Health Benefits",Often,Often,Yes (Strictly),Always,No,Sometimes,Somewhat Satisfied,No,"No, Never",Never,No,Very Supportive,Often,Yes,Somewhat Aware,"Yes, Occasionally",Rarely,"Yes, Sometimes",Never,Important,Often,Taste and Flavour,Very Much,Often,Very Comfortable,Very important,Extremely well,Strongly agree,No,"No, never",Agree,No,Rarely,"Yes, definitely",Yes,Yes,Rarely,Neutral,Daily,Occasionally,Very knowledgeable,Yes,Always,No,Neutral,Frequently
20,Female,Semi Rural,High School,None as of now (Student),4 (Abundant),1-3 km,Yes,30 minutes - 1 hour,20% - 30%,Very Reliable,Often,"Price, Quality, Health Benefits, Environmental Sustainability",Often,Sometimes,Yes (Sometimes),Often,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Neutral,Rarely,Yes,Not very aware,Never,Never,"No, Never",Rarely,Somewhat Important,Always,Taste and Flavour,Very Much,Always,Very Uncomfortable,Extremely important,Moderately well,Strongly agree,No,"Yes, occasionally",Agree,No,Never,"Yes, to some extent",No,No,Never,Neutral,Daily,Neve,Somewhat knowledgeable,Yes,Always,No,Agree,Frequently
21,Male,Rural,High School,None as of now (Student),5 (Very Abundant),3-5 km,Yes,30 minutes - 1 hour,20% - 30%,Unreliable,Often,"Price, Quality, Supporting Local Farmers",Often,Sometimes,No,Often,No,Rarely or Never,Neutral,No,"No, Never",Never,No,Neutral,Rarely,Yes,Not very aware,Never,Never,"Yes, Sometimes",Often,Not very Important,Often,Taste and Flavour,To a great extent,Often,Neutral,Moderately important,Not at all well,Strongly agree,No,"No, never",Neutral,No,Never,"No, not enough",No,No,Rarely,Neutral,Never,Neve,Somewhat knowledgeable,No,Always,No,Agree,Frequently
18,Male,Urban,"High school graduate, diploma or the equivalent",None as of now (Student),4 (Abundant),Less than 1km,No,Less than 15 minutes,20% - 30%,Very Reliable,Sometimes,"Quality, Health Benefits, Environmental Sustainability",Often,Occasionally,No,Rarely or Never,No,Often,Neutral,No,"No, Never",Rarely,No,Supportive,Never,Yes,Not very aware,Never,Sometimes,"Yes, Sometimes",Never,Important,Often,Cost,To a great extent,Sometimes,Very Comfortable,Moderately important,Very well,Strongly agree,No,"No, never",Strongly agree,No,Occasionally,"No, not enough",Yes,Yes,Never,Neutral,Occasionally,Neve,Moderately knowledgeable,Yes,Often,No,Strongly agree,Frequently
21,Male,Urban,Bachelor's Degree,None as of now (Student),5 (Very Abundant),Less than 1km,No,Less than 15 minutes,Less than 10%,Very Reliable,Always,"Price, Quality",Often,Sometimes,No,Always,No,Occasionally,Neutral,No,"No, Never",Never,No,Neutral,Sometimes,Yes,Not very aware,Never,Rarely,"No, Never",Never,Not very Important,Sometimes,Convenience,Somewhat,Often,Comfortable,Slightly important,Not at all well,Agree,No,"No, never",Agree,No,Never,"No, not enough",Yes,No,Never,Neutral,Occasionally,Several times a week,Somewhat knowledgeable,No,Sometimes,No,Neutral,Occasionally
21,Female,Urban,Bachelor's Degree,INR 5-15 Lakhs,3 (Moderate),Less than 1km,No,Less than 15 minutes,10% - 20%,Somewhat Reliable,Sometimes,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Always,Sometimes,Yes (Sometimes),Rarely or Never,No,Sometimes,Somewhat dissatisfied,No,"No, Never",Never,No,Neutral,Never,Yes,Not very aware,Never,Often,"Yes, Sometimes",Rarely,Somewhat Important,Often,Cost,To a great extent,Sometimes,Comfortable,Very important,Extremely well,Strongly agree,Yes,"Yes, occasionally",Strongly agree,No,Rarely,"No, not enough",Yes,Yes,Never,Neutral,Several times a week,Occasionally,Moderately knowledgeable,Yes,Always,Yes,Agree,Frequently
21,Male,Semi Urban,Bachelor's Degree,None as of now (Student),5 (Very Abundant),Less than 1km,No,Less than 15 minutes,20% - 30%,Very Reliable,Often,"Price, Quality, Health Benefits",Often,Sometimes,Yes (Sometimes),Always,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,Yes,Neutral,Never,Yes,Neutral,Never,Never,"No, Never",Sometimes,Not very Important,Sometimes,Taste and Flavour,Somewhat,Always,Very Comfortable,Very important,Very well,Strongly agree,No,"No, never",Agree,No,Never,"No, not enough",Yes,Yes,Never,Negatively,Several times a week,Several times a week,Very knowledgeable,Yes,Often,No,Agree,Occasionally
22,Male,Semi Urban,"High school graduate, diploma or the equivalent",None as of now (Student),3 (Moderate),Less than 1km,No,Less than 15 minutes,10% - 20%,Reliable,Sometimes,"Price, Quality, Supporting Local Farmers, Environmental Sustainability",Sometimes,Occasionally,Yes (Strictly),Often,No,Rarely or Never,Somewhat Satisfied,No,"No, Never",Never,No,Very Supportive,Rarely,Not Sure,Neutral,"Yes, Occasionally",Sometimes,"Yes, Sometimes",Often,Somewhat Important,Often,Convenience,To a great extent,Often,Comfortable,Very important,Moderately well,Agree,No,"No, never",Agree,No,Never,"No, not enough",No,No,Rarely,Neutral,Rarely,Occasionally,Moderately knowledgeable,Yes,Sometimes,No,Neutral,Rarely
20,Male,Urban,Bachelor's Degree,Less than INR 1 Lakh,2 (Limited),1-3 km,Yes,More than 1 hour,10% - 20%,Unreliable,Often,"Price, Environmental Sustainability",Often,Often,No,Often,No,Always,Very Disatisfied,No,"No, Never",Never,No,Neutral,Rarely,Not Sure,Neutral,"Yes, Occasionally",Always,"Yes, Always",Often,Somewhat Important,Often,Taste and Flavour,Somewhat,Rarely,Comfortable,Slightly important,Not at all well,Strongly agree,No,"No, never",Neutral,No,Never,"No, not enough",Yes,Yes,Daily,Positively,Daily,Several times a week,Very knowledgeable,Yes,Sometimes,No,Strongly agree,Occasionally
21,Female,Urban,Bachelor's Degree,None as of now (Student),4 (Abundant),Less than 1km,No,Less than 15 minutes,20% - 30%,Reliable,Occasionally,"Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Sometimes,Occasionally,Yes (Strictly),Always,Yes,Often,Somewhat Satisfied,No,"No, Never",Never,No,Neutral,Often,Yes,Somewhat Aware,"Yes, Occasionally",Sometimes,"Yes, Sometimes",Rarely,Important,Often,Nutritional Value,To a great extent,Always,Comfortable,Very important,Moderately well,Strongly agree,No,"No, never",Strongly agree,No,Never,"Yes, to some extent",Yes,No,Occasionally,Negatively,Several times a week,Occasionally,Very knowledgeable,Yes,Always,No,Strongly agree,Frequently
20,Female,Urban,Bachelor's Degree,None as of now (Student),4 (Abundant),Less than 1km,No,30 minutes - 1 hour,20% - 30%,Reliable,Often,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Often,Sometimes,No,Always,No,Occasionally,Somewhat Satisfied,No,"No, Never",Never,Yes,Neutral,Rarely,Yes,Neutral,"Yes, Occasionally",Sometimes,"Yes, Sometimes",Sometimes,Somewhat Important,Sometimes,Taste and Flavour,Very Much,Always,Neutral,Moderately important,Very well,Agree,No,"No, never",Agree,No,Rarely,"Yes, to some extent",Yes,Yes,Rarely,Neutral,Occasionally,Occasionally,Moderately knowledgeable,No,Sometimes,No,Agree,Occasionally
20,Female,Urban,Bachelor's Degree,Less than INR 1 Lakh,5 (Very Abundant),Less than 1km,Yes,15-30 minutes,10% - 20%,Reliable,Often,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Sometimes,Occasionally,No,Sometimes,Yes,Occasionally,Neutral,No,"No, Never",Never,Yes,Neutral,Sometimes,Yes,Neutral,"Yes, Occasionally",Sometimes,"Yes, Sometimes",Often,Somewhat Important,Sometimes,Nutritional Value,Slightly,Always,Very Comfortable,Extremely important,Very well,Strongly agree,No,"No, never",Strongly agree,No,Never,"Yes, to some extent",Yes,Yes,Never,Positively,Daily,Daily,Very knowledgeable,Yes,Always,No,Agree,Occasionally
32,Female,Urban,Doctorate (PhD),INR 5-15 Lakhs,5 (Very Abundant),3-5 km,Yes,15-30 minutes,10% - 20%,Somewhat Reliable,Occasionally,"Price, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Occasionally,Rarely or Never,Yes (Strictly),Occasionally,Yes,Often,Neutral,Yes,"No, Never",Never,No,Not very Supportive,Never,Yes,Very Aware,"Yes, Occasionally",Always,"Yes, Sometimes",Often,Very Important,Often,Cost,To a great extent,Sometimes,Uncomfortable,Very important,Somewhat well,Strongly agree,Yes,"Yes, frequently",Strongly agree,Yes,Frequently,"No, not enough",Yes,Yes,Daily,Positively,Daily,Several times a week,Very knowledgeable,Yes,Always,Yes,Strongly agree,Occasionally
34,Female,Semi Urban,Master’s degree,INR 1-5 Lakhs,5 (Very Abundant),Less than 1km,No,Less than 15 minutes,20% - 30%,Reliable,Often,"Health Benefits, Supporting Local Farmers",Occasionally,Occasionally,No,Always,No,Rarely or Never,Very Satisfied,No,"No, Never",Never,No,Supportive,Rarely,Yes,Somewhat Aware,Never,Sometimes,"Yes, Always",Often,Important,Always,Nutritional Value,To a great extent,Sometimes,Very Comfortable,Slightly important,Moderately well,Agree,No,"No, never",Agree,No,Never,"Yes, definitely",Yes,Yes,Rarely,Neutral,Occasionally,Occasionally,Very knowledgeable,Yes,Sometimes,No,Strongly agree,Occasionally
21,Male,Semi Urban,High School,None as of now (Student),1 (Very Limited),1-3 km,No,Less than 15 minutes,Less than 10%,Reliable,Occasionally,"Price, Quality, Environmental Sustainability",Occasionally,Occasionally,Yes (Strictly),Often,No,Sometimes,Somewhat dissatisfied,Yes,"No, Never",Never,No,Neutral,Never,Yes,Not very aware,Never,Sometimes,"Yes, Sometimes",Never,Important,Rarely,Taste and Flavour,To a great extent,Sometimes,Very Comfortable,Very important,Very well,Agree,No,"Yes, occasionally",Agree,No,Rarely,"No, not enough",Yes,No,Never,Positively,Never,Neve,Moderately knowledgeable,Yes,Often,No,Disagree,Rarely
26,Male,Semi Urban,Doctorate (PhD),None as of now (Student),2 (Limited),Less than 1km,Yes,Less than 15 minutes,30% - 40%,Reliable,Often,"Price, Quality, Health Benefits, Supporting Local Farmers, Environmental Sustainability",Sometimes,Occasionally,No,Often,No,Occasionally,Neutral,No,"No, Never",Never,Yes,Very Supportive,Sometimes,Yes,Somewhat Aware,"Yes, Occasionally",Never,"Yes, Sometimes",Never,Very Important,Always,Taste and Flavour,To a great extent,Often,Neutral,Very important,Very well,Strongly agree,Yes,"No, never",Agree,Yes,Occasionally,"No, not enough",Yes,Yes,Occasionally,Negatively,Occasionally,Rarely,Somewhat knowledgeable,No,Sometimes,No,Strongly agree,Occasionally
